Vocabulary,P(not Spam),P(Spam)
study,0.0014488087572440437,0.00028885037550548814
wednesday,0.0011268512556342563,0.00028885037550548814
5pm,0.0003219575016097875,0.00014442518775274407
900am,0.0003219575016097875,0.00014442518775274407
inspection,0.0003219575016097875,0.00014442518775274407
this,0.005956213779781069,0.007365684575389948
notice,0.0024146812620734065,0.00028885037550548814
29th,0.0003219575016097875,0.00014442518775274407
january,0.0003219575016097875,0.0007221259387637204
scholarship,0.0008048937540244687,0.002310803004043905
sept,0.0008048937540244687,0.00028885037550548814
information,0.0037025112685125563,0.0011554015020219526
11,0.0011268512556342563,0.0004332755632582322
1230pm,0.0004829362524146813,0.00014442518775274407
dod,0.0004829362524146813,0.00014442518775274407
smart,0.000643915003219575,0.001877527440785673
adventure,0.0003219575016097875,0.0005777007510109763
group,0.0011268512556342563,0.00014442518775274407
community,0.0004829362524146813,0.00014442518775274407
recreation,0.0016097875080489374,0.00014442518775274407
hdfc,0.0003219575016097875,0.0004332755632582322
card,0.0011268512556342563,0.0008665511265164644
credit,0.0008048937540244687,0.0005777007510109763
check,0.0011268512556342563,0.0010109763142692085
eligibility,0.000643915003219575,0.00014442518775274407
bank,0.0009658725048293626,0.0008665511265164644
rather,0.0003219575016097875,0.0010109763142692085
coronavirus,0.0008048937540244687,0.00014442518775274407
just,0.0022537025112685126,0.003755054881571346
or,0.0009658725048293626,0.001877527440785673
apartment,0.0004829362524146813,0.0010109763142692085
update1,0.0003219575016097875,0.00014442518775274407
like,0.000643915003219575,0.001877527440785673
love,0.0004829362524146813,0.0030329289428076256
would,0.0004829362524146813,0.0010109763142692085
travel,0.0011268512556342563,0.0007221259387637204
the,0.011107533805537669,0.016464471403812825
jhen,0.0003219575016097875,0.00014442518775274407
morris,0.0003219575016097875,0.00014442518775274407
announced,0.0003219575016097875,0.00014442518775274407
weeknd,0.0003219575016097875,0.00014442518775274407
aiko,0.0003219575016097875,0.00014442518775274407
maren,0.0003219575016097875,0.00014442518775274407
chiplay,0.0003219575016097875,0.00014442518775274407
connections,0.0004829362524146813,0.00014442518775274407
start,0.0014488087572440437,0.0012998266897746968
break,0.0011268512556342563,0.0004332755632582322
spring,0.0022537025112685126,0.0012998266897746968
volunteer,0.0011268512556342563,0.00014442518775274407
over,0.000643915003219575,0.0005777007510109763
notices,0.0008048937540244687,0.00014442518775274407
circulation,0.000643915003219575,0.00014442518775274407
profile,0.0004829362524146813,0.0004332755632582322
triplebyte,0.0003219575016097875,0.00014442518775274407
that,0.0011268512556342563,0.0014442518775274408
offer,0.000643915003219575,0.002310803004043905
an,0.0019317450096587251,0.0017331022530329288
bowl,0.0003219575016097875,0.00014442518775274407
will,0.0004829362524146813,0.0007221259387637204
floor,0.0003219575016097875,0.00014442518775274407
work,0.0004829362524146813,0.0007221259387637204
mcadams,0.0003219575016097875,0.00014442518775274407
fw,0.0022537025112685126,0.00028885037550548814
security,0.0022537025112685126,0.0008665511265164644
police,0.0003219575016097875,0.00014442518775274407
department,0.0003219575016097875,0.00014442518775274407
occurred,0.0003219575016097875,0.00014442518775274407
3,0.0019317450096587251,0.002166377816291161
1030,0.0003219575016097875,0.00014442518775274407
assault,0.0003219575016097875,0.00014442518775274407
oct,0.0011268512556342563,0.0005777007510109763
between,0.0003219575016097875,0.00014442518775274407
sexual,0.0003219575016097875,0.00014442518775274407
university,0.0030585962652929814,0.0015886770652801848
pm,0.0014488087572440437,0.00014442518775274407
eligible,0.0003219575016097875,0.0004332755632582322
re,0.0020927237604636186,0.004043905257076834
activate,0.0003219575016097875,0.00028885037550548814
review,0.0011268512556342563,0.0007221259387637204
offers,0.0003219575016097875,0.0005777007510109763
chase,0.0003219575016097875,0.0004332755632582322
bass,0.0003219575016097875,0.00014442518775274407
weekend,0.0009658725048293626,0.0012998266897746968
night,0.0022537025112685126,0.0012998266897746968
social,0.0009658725048293626,0.0004332755632582322
unites,0.0009658725048293626,0.00028885037550548814
week,0.0028976175144880875,0.0025996533795493936
events,0.0020927237604636186,0.00014442518775274407
heatindex,0.0003219575016097875,0.00014442518775274407
code,0.000643915003219575,0.0010109763142692085
missing,0.0008048937540244687,0.00028885037550548814
requirements,0.000643915003219575,0.00014442518775274407
clearance,0.000643915003219575,0.0005777007510109763
required,0.0011268512556342563,0.0005777007510109763
medical,0.0004829362524146813,0.00028885037550548814
cooper,0.0003219575016097875,0.00028885037550548814
heard,0.0003219575016097875,0.00014442518775274407
from,0.005473277527366388,0.005632582322357019
santee,0.0003219575016097875,0.00014442518775274407
back,0.000643915003219575,0.0017331022530329288
kiely,0.0003219575016097875,0.00014442518775274407
connection,0.0003219575016097875,0.00014442518775274407
with,0.005956213779781069,0.007221259387637204
brayden,0.0004829362524146813,0.00028885037550548814
conversation,0.0004829362524146813,0.00014442518775274407
payment,0.0022537025112685126,0.0005777007510109763
scheduling,0.000643915003219575,0.00014442518775274407
member,0.0008048937540244687,0.0004332755632582322
tomorrow,0.0025756600128783,0.0015886770652801848
appreciation,0.0004829362524146813,0.00028885037550548814
tip,0.0003219575016097875,0.00014442518775274407
yourself,0.0003219575016097875,0.0005777007510109763
phishing,0.0003219575016097875,0.00014442518775274407
help,0.000643915003219575,0.0015886770652801848
protect,0.0003219575016097875,0.0008665511265164644
text,0.0003219575016097875,0.00014442518775274407
do,0.00128783000643915,0.0030329289428076256
want,0.0004829362524146813,0.0008665511265164644
one,0.0008048937540244687,0.001877527440785673
get,0.0019317450096587251,0.008376660889659156
nt,0.0014488087572440437,0.0025996533795493936
date,0.0009658725048293626,0.0004332755632582322
save,0.0009658725048293626,0.004477180820335066
echosmith,0.0003219575016097875,0.00014442518775274407
music,0.0004829362524146813,0.0004332755632582322
artists,0.0003219575016097875,0.00014442518775274407
release,0.0003219575016097875,0.00014442518775274407
radar,0.0003219575016097875,0.00014442518775274407
flight,0.000643915003219575,0.00028885037550548814
receipt,0.0020927237604636186,0.0004332755632582322
gis,0.0003219575016097875,0.00028885037550548814
workshop,0.000643915003219575,0.0008665511265164644
come,0.0008048937540244687,0.0007221259387637204
2019,0.004185447520927237,0.0030329289428076256
prepare,0.0008048937540244687,0.0007221259387637204
shpe,0.0004829362524146813,0.0005777007510109763
industry,0.000643915003219575,0.0010109763142692085
fall,0.0020927237604636186,0.002310803004043905
s,0.004185447520927237,0.006210283073367995
tiktok,0.0003219575016097875,0.00014442518775274407
might,0.0008048937540244687,0.00014442518775274407
wework,0.0003219575016097875,0.00014442518775274407
hey,0.0004829362524146813,0.00028885037550548814
manipulation,0.0003219575016097875,0.00014442518775274407
time,0.0016097875080489374,0.002021952628538417
media,0.0003219575016097875,0.0004332755632582322
best,0.0008048937540244687,0.002166377816291161
through,0.000643915003219575,0.0004332755632582322
why,0.0008048937540244687,0.0005777007510109763
be,0.0008048937540244687,0.0011554015020219526
strategy,0.0003219575016097875,0.00014442518775274407
midnight,0.0004829362524146813,0.0005777007510109763
extended,0.000643915003219575,0.0005777007510109763
deadline,0.00128783000643915,0.002021952628538417
until,0.0004829362524146813,0.00028885037550548814
at,0.004829362524146813,0.00389948006932409
lany,0.0008048937540244687,0.00014442518775274407
colloquium,0.000643915003219575,0.00014442518775274407
mfa,0.0003219575016097875,0.00014442518775274407
thesis,0.0003219575016097875,0.00014442518775274407
cornejo,0.0003219575016097875,0.00014442518775274407
defense,0.0004829362524146813,0.00014442518775274407
christoper,0.0003219575016097875,0.00014442518775274407
dpa,0.0003219575016097875,0.00014442518775274407
friday,0.0025756600128783,0.0010109763142692085
white,0.0008048937540244687,0.00014442518775274407
watt,0.000643915003219575,0.00028885037550548814
facilities,0.0011268512556342563,0.0004332755632582322
